,車站種類,車站編號,車站名稱,村里數量,納稅單位,綜合所得總額,所得平均,戶數,人口,男性人口,女性人口,0-14歲人口,15-64歲人口,65歲以上人口,15-19歲人口,20-24歲人口,25-29歲人口,30-34歲人口,35-39歲人口,40-44歲人口,45-49歲人口,50-54歲人口,55-59歲人口,60-64歲人口,博士人口,碩士人口,大學院校人口,專科人口,高中職人口,國中初職人口,小學人口,不識字人口,未婚人口,有偶人口,出生數,死亡數,遷入人口,遷出人口
112,tp_mrt,O10,台北捷運中山國小站,129,68740.0,8323198.0,5097.0,86837.0,206364.0,97736.0,108632.0,26339.0,140947.0,39075.0,8768.0,10401.0,11563.0,13226.0,17598.0,17315.0,15243.0,15391.0,15784.0,15681.0,2365.0,19312.0,62544.0,23522.0,43728.0,14226.0,13295.0,725.0,88077.0,91705.0,1640.0,1491.0,10930.0,12844.0
113,tp_mrt,O11,台北捷運民權西路站,153,69385.0,7743273.0,5477.0,90852.0,213481.0,101845.0,111646.0,25221.0,148270.0,39989.0,8938.0,11024.0,12550.0,14221.0,18552.0,17966.0,15717.0,16040.0,16681.0,16612.0,2017.0,17553.0,61421.0,24199.0,48338.0,17639.0,15857.0,895.0,91084.0,92977.0,1694.0,1588.0,10915.0,12664.0
114,tp_mrt,O12,台北捷運大橋頭站,165,73012.0,7471420.0,5549.0,98908.0,234098.0,112663.0,121443.0,27535.0,164975.0,41585.0,10115.0,12456.0,14190.0,15872.0,20594.0,20150.0,17545.0,17774.0,18273.0,18034.0,1775.0,16917.0,63533.0,26160.0,55544.0,22293.0,18853.0,1090.0,100788.0,100276.0,1834.0,1727.0,11270.0,12993.0
115,tp_mrt,O13,台北捷運台北橋站,180,74006.0,6974854.0,5643.0,102327.0,248148.0,120165.0,127992.0,29270.0,177538.0,41336.0,11191.0,13755.0,15761.0,17302.0,22175.0,21829.0,18623.0,18543.0,19339.0,19040.0,1407.0,15274.0,63279.0,26742.0,61080.0,27803.0,21554.0,1301.0,107921.0,105308.0,1897.0,1752.0,11414.0,12550.0
116,tp_mrt,O14,台北捷運菜寮站,166,63808.0,5849577.0,5053.0,88412.0,217757.0,106464.0,111304.0,25467.0,157222.0,35065.0,10185.0,12543.0,14314.0,15361.0,19306.0,19185.0,16417.0,16265.0,17061.0,16603.0,1042.0,12386.0,53869.0,22905.0,54658.0,26412.0,19411.0,1220.0,95174.0,92170.0,1642.0,1544.0,9855.0,10284.0
117,tp_mrt,O15,台北捷運三重站,161,59130.0,5199850.0,4741.0,82392.0,205132.0,100483.0,104658.0,23278.0,149681.0,32171.0,9788.0,12214.0,13992.0,14732.0,18086.0,17919.0,15459.0,15390.0,16292.0,15825.0,834.0,10779.0,49763.0,21166.0,52664.0,26309.0,18808.0,1185.0,89797.0,86313.0,1523.0,1434.0,8762.0,8830.0
118,tp_mrt,O16,台北捷運先嗇宮站,139,62931.0,5806080.0,4305.0,84554.0,216591.0,105648.0,110952.0,27205.0,158478.0,30910.0,11063.0,13170.0,14812.0,15213.0,18904.0,19574.0,16947.0,16271.0,16655.0,15870.0,898.0,12369.0,53968.0,23335.0,54481.0,24804.0,18032.0,1181.0,95758.0,93021.0,1597.0,1266.0,8249.0,7777.0
119,tp_mrt,O17,台北捷運頭前庄站,120,54189.0,5035846.0,3761.0,73074.0,188569.0,91799.0,96775.0,24621.0,137035.0,26911.0,9731.0,11303.0,12714.0,13124.0,16553.0,17343.0,14742.0,13818.0,14077.0,13639.0,817.0,11098.0,47037.0,20612.0,46976.0,20717.0,15435.0,975.0,83498.0,81713.0,1382.0,1049.0,6940.0,6393.0
120,tp_mrt,O18,台北捷運新莊站,136,62063.0,5776494.0,4275.0,82522.0,213610.0,104136.0,109478.0,28179.0,155589.0,29843.0,10946.0,12832.0,14569.0,15107.0,19092.0,19734.0,16467.0,15416.0,15865.0,15576.0,986.0,12637.0,53564.0,23283.0,53352.0,23452.0,16840.0,1030.0,94670.0,92903.0,1601.0,1164.0,7972.0,7320.0
121,tp_mrt,O19,台北捷運輔大站,121,57653.0,4962351.0,3522.0,75836.0,201469.0,98594.0,102881.0,27009.0,148766.0,25701.0,10699.0,12648.0,14414.0,14718.0,18631.0,18812.0,15020.0,14285.0,15041.0,14504.0,738.0,10190.0,48786.0,21248.0,52827.0,24146.0,15423.0,895.0,90174.0,86624.0,1554.0,1044.0,7157.0,7055.0
122,tp_mrt,O20,台北捷運丹鳳站,66,32448.0,2681710.0,1857.0,41023.0,111601.0,54728.0,56875.0,15126.0,83362.0,13116.0,6037.0,7265.0,8353.0,8509.0,10607.0,10275.0,8039.0,7868.0,8407.0,8004.0,363.0,5070.0,26533.0,11346.0,30263.0,14119.0,8247.0,444.0,50163.0,47988.0,888.0,555.0,4180.0,4230.0
123,tp_mrt,O21,台北捷運迴龍站,52,25264.0,2018416.0,1409.0,32510.0,87629.0,43144.0,44488.0,11778.0,66280.0,9572.0,4736.0,5833.0,6744.0,6840.0,8485.0,8034.0,6293.0,6294.0,6764.0,6264.0,268.0,3727.0,20581.0,8679.0,24233.0,11534.0,6416.0,346.0,39420.0,37371.0,737.0,422.0,3655.0,3464.0
124,tp_mrt,O50,台北捷運三重國小站,178,72751.0,6634254.0,5409.0,99910.0,250078.0,122033.0,128056.0,29781.0,180788.0,39509.0,11797.0,14467.0,16347.0,17593.0,22317.0,22120.0,18880.0,18801.0,19538.0,18938.0,1182.0,14099.0,61986.0,26421.0,62610.0,29730.0,22470.0,1365.0,109512.0,106307.0,1892.0,1699.0,10592.0,11702.0
125,tp_mrt,O51,台北捷運三和國中站,172,66859.0,5758393.0,4982.0,91771.0,237805.0,116736.0,121078.0,28308.0,175313.0,34183.0,12008.0,14793.0,16578.0,16998.0,20970.0,21010.0,18283.0,18189.0,18848.0,17643.0,820.0,11728.0,56805.0,24417.0,61011.0,31163.0,21840.0,1334.0,105322.0,100599.0,1768.0,1520.0,9506.0,9757.0
126,tp_mrt,O52,台北捷運徐匯中學站,153,59127.0,4967588.0,4340.0,81647.0,214394.0,105490.0,108913.0,25715.0,159439.0,29239.0,11199.0,13771.0,15386.0,15442.0,18819.0,18883.0,16506.0,16486.0,17124.0,15825.0,628.0,9795.0,50472.0,21616.0,55607.0,29447.0,19559.0,1214.0,95560.0,90303.0,1580.0,1303.0,8293.0,8444.0
127,tp_mrt,O53,台北捷運三民高中站,106,46753.0,3889896.0,2991.0,63484.0,170635.0,83888.0,86754.0,21199.0,127770.0,21665.0,9206.0,11280.0,12574.0,12461.0,15169.0,15199.0,13038.0,12983.0,13495.0,12368.0,457.0,7457.0,40028.0,16944.0,44314.0,23996.0,15036.0,933.0,76563.0,72299.0,1278.0,972.0,6779.0,6590.0
128,tp_mrt,O54,台北捷運蘆洲站,73,34855.0,2923355.0,2066.0,47485.0,128125.0,63036.0,65097.0,16470.0,96690.0,14967.0,7098.0,8643.0,9635.0,9463.0,11466.0,11513.0,9894.0,9791.0,10129.0,9058.0,339.0,5466.0,30130.0,12695.0,33604.0,17828.0,10771.0,645.0,57681.0,54393.0,973.0,681.0,5792.0,5173.0
129,tp_mrt,R02,台北捷運象山站,102,68757.0,8935064.0,4590.0,81309.0,201786.0,95067.0,106720.0,26084.0,135843.0,39862.0,8680.0,10292.0,11264.0,12628.0,16698.0,16499.0,14892.0,14925.0,15119.0,14860.0,2735.0,22844.0,67946.0,23211.0,37386.0,10247.0,10431.0,613.0,84225.0,93777.0,1604.0,1416.0,9578.0,11811.0
130,tp_mrt,R03,台北捷運台北101/世貿站,117,80551.0,10953797.0,5490.0,94349.0,235071.0,110385.0,124689.0,31733.0,156501.0,46839.0,10311.0,11930.0,12692.0,14156.0,18921.0,19184.0,17418.0,17327.0,17414.0,17165.0,3569.0,28108.0,80445.0,26744.0,41662.0,11021.0,10886.0,620.0,98506.0,109701.0,1803.0,1627.0,11542.0,13909.0
131,tp_mrt,R04,台北捷運信義安和站,129,88341.0,12664980.0,6386.0,103589.0,256699.0,120140.0,136559.0,36320.0,168872.0,51512.0,11373.0,12864.0,13431.0,14841.0,20046.0,20895.0,19040.0,18872.0,18929.0,18605.0,4736.0,32674.0,88535.0,28446.0,43385.0,11104.0,10633.0,578.0,108330.0,119708.0,1908.0,1776.0,13601.0,15688.0
132,tp_mrt,R05,台北捷運大安站,128,86625.0,12559870.0,6446.0,101460.0,248542.0,116214.0,132329.0,36071.0,162608.0,49869.0,10979.0,12255.0,12698.0,14110.0,19432.0,20404.0,18486.0,18143.0,18179.0,17952.0,4995.0,32694.0,85793.0,27203.0,41203.0,10255.0,9564.0,519.0,105302.0,115939.0,1873.0,1716.0,14212.0,15929.0
